TICKER;PRECO;ULTDIV;DY;VPC;PVP;LIQD;CAIXA;CAGRDIV;CAGRVLR;PATRIMONIO;NCOTISTAS;GESTAO;NCOTA
ASMT11;34.11;0.77;0.0;91.53;0.37;2862.86;4.06;;-29.94;98964564.68;446.0;Ativa;1081257.0
ASRF11;10942.0;256.328699;0.0;9609.1;1.14;497.36;9.49;;;28269972.99;68.0;Ativa;2942.0
ATCR11;0.0;0.228494;0.0;73.84;;;1.1;;;68591012.89;33.0;Ativa;928908.0
ATSA11;54.0;0.5;2.26;76.69;0.7;3121.33;1.32;17.56;-17.79;134299450.74;287.0;Passiva;1751141.0
ATWN11;0.0;;0.0;2073.78;;;0.71;;;333375417.84;2.0;Passiva;160757.0
AURB11;78.0;0.2;0.26;76.3;1.02;4321.0;0.36;;;68553124.23;18.0;Ativa;898514.0
AZPE11;0.0;;0.0;10.15;;;2.66;;;97702452.05;12.0;Ativa;9630000.0
AZPL11;7.0;0.082;5.27;9.66;0.72;507036.67;2.21;;;175894951.15;7752.0;Ativa;18209646.0
BARI11;71.26;0.79;14.32;91.23;0.78;539290.95;12.3;-12.54;-9.72;422786204.97;38838.0;Ativa;4634191.0
BBFI11;322.01;100.414494;91.63;861.93;0.37;74535.57;28.29;1.24;-45.39;112051413.35;7144.0;Passiva;130000.0
BBFO11;63.49;0.62;13.25;74.86;0.85;266812.71;0.42;-4.78;-2.14;299748931.91;6841.0;Passiva;4003900.0
BBIG11;7.15;0.09;8.04;9.72;0.74;1395689.67;4.93;;;963074267.14;25222.0;Ativa;99120994.0
BBIM11;0.0;0.34;0.0;0.0;;;14146.65;-24.05;;667.5;0.0;Ativa;1035000.0
BBRC11;107.91;1.08;13.37;111.96;0.96;143096.62;5.25;4.6;8.11;178015552.66;9493.0;Passiva;1590000.0
BCFF11;7.28;0.07;11.67;11.34;0.64;0.0;14.78;1.07;-1.81;2285064090.04;351685.0;Ativa;201491024.0
